name	qbr	paa	plays	epa	pass	run	sack	pen	raw	Average Salary
Baker Mayfield	51.9	4.9	511	47.4	40.4	3.6	-9.2	3.4	53.4	37955071
Derek Carr	47.7	-1.2	459	37.6	42.9	-5.2	-9.9	-0.1	49.1	35150681
Davis Mills	35	-23.3	573	24.8	23.1	-1.2	-12.7	2.9	36	15000000
Dak Prescott	59.9	16.7	480	56.6	48.5	5.3	-8.3	2.7	62	121500000
Jared Goff	60.3	15.4	489	50.2	49	-1	-7.2	2.3	60.9	160000000
Tua Tagovailoa	61.9	17.8	465	53.8	58.1	-6.1	-5.8	1.8	63.2	242588236
Josh Allen	72.4	38.8	536	82.2	58.3	23.4	-5.8	0.5	73.6	262500000
Geno Smith	62.8	30.5	725	89.7	76.1	11.5	-18.9	2	64.5	160000000
Jimmy Garoppolo	56.3	8.7	367	38.5	38.8	-2	-9.2	1.8	58.3	35150681
Jalen Hurts	61.3	18.9	584	67.7	48.6	15.5	-11.4	3.5	61.3	230000000
Josh Allen	73.4	60	746	120.1	74.1	43.9	-12.1	2.2	75.7	258034000
Zach Wilson	30.3	-22.3	413	13.9	9.3	1.9	-16.7	2.7	31.7	14067905
Joe Burrow	53	1.3	431	38	32.1	3.5	-11.2	2.4	51.1	72750000
Russell Wilson	38.7	-18.5	642	37.3	20	11.9	-24	5.5	40	18000000
Tom Brady	54.6	10.7	823	77	77.5	-3.4	-10.4	3	54.6	34105275
Baker Mayfield	26.3	-31	417	6	5.7	-0.9	-14.5	1.2	25.9	14067905
Daniel Jones	38.4	-8.5	241	10.7	2.8	7.7	-9.6	0.1	37.8	33994031
Matthew Stafford	52.3	-1.7	362	27.4	26.5	0.3	-11	0.5	48.3	28000000
Kyler Murray	53.6	7.7	512	49	30	19.2	-10.3	-0.2	55.3	32682980
C.J. Stroud	59.5	13.6	514	55.3	51	3.4	-14.4	0.9	59.2	160000000
Lamar Jackson	61.1	11.9	478	53	29.8	22.2	-8.9	1	58.7	150000000
Jared Goff	63.3	28.8	668	78.5	79.1	-3.9	-9.9	3.2	64.8	230000000
Carson Wentz	34.4	-14.3	352	14.1	9.8	3.5	-11.4	0.7	36	14285000
Joe Burrow	60.8	19.3	750	79.6	63.5	13.3	-16	2.8	59	134000000
Derek Carr	57.6	11.2	591	62.3	55	4.7	-11.6	2.6	56.7	36793488
Kirk Cousins	52.3	9.1	771	71.5	63.8	4.7	-17	3	54.1	26578755
Jalen Hurts	68.3	42.8	683	95.7	54.7	38.7	-13.9	2.3	70.8	230500000
Sam Howell	47.8	-0.9	642	52.3	33.3	15.3	-22.9	3.7	49.5	36279243
Jordan Love	58.3	14	502	54	46.2	4.8	-9.4	3	59.7	118000000
Andy Dalton	53.1	2.7	453	39.7	40.5	-2	-12.4	1.2	52.1	30247715
Aaron Rodgers	41.3	-10.6	624	42.6	36.5	2.4	-16.4	3.7	44	18750000
Jacoby Brissett	62	15.3	466	51.5	35.5	12.5	-9.2	3.6	61.4	150815000
Justin Herbert	68.2	28.2	543	73.6	62.5	10.5	-10.9	0.6	67.6	258034000
Matt Ryan	44.9	-8	554	39	38.5	-0.4	-17	0.9	44.9	18871957
Geno Smith	56.3	7.1	486	48.3	43.3	4.5	-11	0.5	55.1	112500000
Russell Wilson	50.3	0.7	467	39.4	23.1	11.1	-14.6	5.2	50.6	36793488
Gardner Minshew	58.5	7.1	400	39.9	36.9	1.5	-8.5	1.5	56.2	134000000
Justin Fields	45.1	-2.3	346	24.9	17.2	8.6	-12	-0.9	47.7	35000000
Mac Jones	36.4	-14.6	413	21.6	20.6	1.4	-8.8	-0.5	37.7	18871957
Kirk Cousins	63.4	15.9	364	46.4	43.3	0	-7.6	3.1	65	255000000
Lamar Jackson	58.5	12.4	505	54.1	38.9	11.9	-11.1	3.3	58.6	150000000
Justin Fields	56.3	13.4	556	59.2	10	46.5	-20.9	2.8	58.5	36190137
Trevor Lawrence	56.1	11.7	711	69.6	66	1.6	-11.7	2	55.8	35000000
Desmond Ridder	38.8	-9.3	388	24.8	18	5	-10.2	1.7	41.6	34105275
Joshua Dobbs	54.9	7.2	522	47.6	22.1	22.1	-10.8	3.3	54.9	75000000
Brock Purdy	75.6	31.7	407	62.1	53.5	8	-8.8	0.6	75.1	450000000
Bryce Young	31.3	-24.5	484	17.1	3.3	11.6	-17.8	2.1	32.8	15586352
Tua Tagovailoa	70.6	27.5	456	63.5	57.4	3.4	-8.9	2.8	70.1	242588236
Patrick Mahomes	79	71.4	763	132.8	106.5	24.9	-10.7	1.5	79	450000000
Kenny Pickett	53.6	3.4	496	43.2	36.5	5.2	-9.6	1.6	52.4	30275438
Kenny Pickett	38.1	-16.6	389	17.6	12	3.1	-11.3	2.6	35.4	30275438
Mac Jones	38.4	-18.8	538	27.9	25.6	2.3	-14.5	0	37.9	15586352
Daniel Jones	62.9	27.5	665	81.1	53	26.8	-15.4	1.3	64.2	160000000
Ryan Tannehill	51.2	1.4	416	36.2	30	5.3	-14.3	0.9	51.2	25664056
Matthew Stafford	59.5	11.8	443	47.6	42.7	1.7	-8.7	3.2	59.3	160000000
Dak Prescott	75.6	43.5	507	78.3	63.8	10.1	-11.5	4.5	77.1	275000000
Marcus Mariota	57.7	8.7	430	44.7	32.2	9.9	-12.2	2.6	57.1	118000000
Patrick Mahomes	69.8	36.2	537	79.9	59.1	17.6	-6.3	3.2	72.2	260000000
Justin Herbert	60.2	27.3	812	95.2	90.9	2.5	-15.5	1.8	61.7	128000000
Trevor Lawrence	61.8	15.9	484	54.8	43.1	4.2	-9.7	7.5	61.4	230500000
